strain,name,country,latitude,longitude,pop,capital,peel,plg,jpg
AB1,Adelaide,Australia,-34.93,138.6,10,0,N2,N2,1
AB2,Adelaide,Australia,-34.93,138.6,10,0,CB4856,CB4856,1
AB4,Adelaide,Australia,-34.93,138.6,10,0,CB4856,CB4856,1
CB4852,London,UK,51.52,-0.1,10,0,N2,N2,1
CB4854,Altadena,USA,34.19,-118.13,10,0,N2,CB4856,1
CB4856,Hilo,USA,19.7,-155.09,10,0,CB4856,CB4856,1
CB4932,Tauton,UK,51.02,-3.10,10,0,N2,N2,0
CX11254,Huntington Gardens,USA,34.13,-118.11,10,0,CB4856,CB4856,1
CX11258,Griffith Park,USA,34.13,-118.29,10,0,CB4856,CB4856,1
CX11259,Griffith Park,USA,34.13,-118.29,10,0,CB4856,CB4856,0
CX11262,Huntington Gardens,USA,34.13,-118.11,10,0,CB4856,CB4856,0
CX11264,Huntington Gardens,USA,34.13,-118.11,10,0,CB4856,CB4856,1
CX11268,Huntington Gardens,USA,34.13,-118.11,10,0,CB4856,CB4856,1
CX11271,Caltech,USA,34.14,-118.13,10,0,CB4856,CB4856,1
CX11276,Decanso Gardens,USA,34.21,-118.21,10,0,CB4856,CB4856,1
CX11278,Griffith Park,USA,34.13,-118.29,10,0,CB4856,CB4856,1
CX11285,Los Angeles Arboretum,USA,34.16,-118.05,10,0,CB4856,CB4856,1
CX11292,Griffith Park,USA,34.13,-118.29,10,0,CB4856,CB4856,0
CX11294,Huntington Gardens,USA,34.13,-118.11,10,0,CB4856,CB4856,1
CX11305,Griffith Park,USA,34.13,-118.29,10,0,CB4856,CB4856,0
CX11307,Huntington Gardens,USA,34.13,-118.11,10,0,CB4856,CB4856,0
CX11314,Huntington Gardens,USA,34.13,-118.11,10,0,CB4856,CB4856,1
CX11315,Huntington Gardens,USA,34.13,-118.11,10,0,CB4856,CB4856,1
CX11316,Decanso Gardens,USA,34.21,-118.21,10,0,CB4856,CB4856,1
CX11317,Griffith Park,USA,34.13,-118.29,10,0,CB4856,CB4856,1
CX11319,Caltech,USA,34.14,-118.13,10,0,CB4856,CB4856,1
CX11321,Los Angeles Arboretum,USA,34.16,-118.05,10,0,CB4856,CB4856,1
DL200,Addis Ababa,Ethiopia,9.03,38.74,10,0,N2,CB4856,1
DL226,Corvallis,USA,44.57,-123.28,10,0,CB4856,CB4856,0
DL238,Manuka State Park,USA,19.22,-155.82,10,0,CB4856,CB4856,1
DR1344,Bergerac,France,44.86,0.48,10,0,N2,N2,1
ED3005,Edinburgh,UK,55.95,-3.22,10,0,CB4856,CB4856,1
ED3010,Edinburgh,UK,55.95,-3.22,10,0,N2,N2,1
ED3011,Edinburgh,UK,55.95,-3.22,10,0,CB4856,CB4856,1
ED3012,Edinburgh,UK,55.95,-3.22,10,0,N2,N2,1
ED3014,Edinburgh,UK,55.95,-3.22,10,0,N2,N2,1
ED3015,Edinburgh,UK,55.95,-3.22,10,0,N2,N2,1
ED3017,Edinburgh,UK,55.95,-3.22,10,0,N2,CB4856,1
ED3019,Edinburgh,UK,55.95,-3.22,10,0,N2,CB4856,1
ED3020,Edinburgh,UK,55.95,-3.22,10,0,N2,CB4856,1
ED3021,Edinburgh,UK,55.95,-3.22,10,0,CB4856,CB4856,1
ED3023,Edinburgh,UK,55.95,-3.22,10,0,N2,N2,1
ED3024,Edinburgh,UK,55.95,-3.22,10,0,N2,N2,1
ED3028,Edinburgh,UK,55.95,-3.22,10,0,N2,N2,1
ED3040,Johannesburg,South Africa,-26.19,28.04,10,0,CB4856,CB4856,1
ED3042,Ceres,South Africa,-33.36,19.3,10,0,CB4856,CB4856,1
ED3043,Ceres,South Africa,-33.36,19.3,10,0,CB4856,CB4856,1
ED3046,Ceres,South Africa,-33.36,19.3,10,0,N2,CB4856,1
ED3048,Ceres,South Africa,-33.36,19.3,10,0,NA,NA,1
ED3049,Ceres,South Africa,-33.36,19.3,10,0,N2,CB4856,1
ED3052,Ceres,South Africa,-33.36,19.3,10,0,CB4856,CB4856,1
ED3073,Limuru,Kenya,-1.1,36.65,10,0,N2,CB4856,1
ED3075,Limuru,Kenya,-1.1,36.65,10,0,NA,NA,1
ED3077,Nairobi,Kenya,-1.29,36.82,10,0,CB4856,CB4856,1
EG4346,Eugene,USA,44.05,-123.11,10,0,CB4856,N2,1
EG4347,Eugene,USA,44.05,-123.11,10,0,CB4856,N2,1
EG4348,Salt Lake City,USA,40.78,-111.93,10,0,N2,CB4856,1
EG4349,Salt Lake City,USA,40.78,-111.93,10,0,N2,CB4856,1
EG4680,Salt Lake City,USA,40.78,-111.93,10,0,N2,N2,1
EG4689,Salt Lake City,USA,40.78,-111.93,10,0,N2,N2,1
EG4724,Amares,Portugal,41.64,-8.35,10,0,N2,CB4856,1
EG4725,Amares,Portugal,41.64,-8.35,10,0,N2,CB4856,1
EG4945,Salt Lake City,USA,40.78,-111.93,10,0,N2,N2,1
EG4946,Salt Lake City,USA,40.78,-111.93,10,0,N2,N2,1
EG4948,Salt Lake City,USA,40.78,-111.93,10,0,N2,N2,1
EG4951,Salt Lake City,USA,40.78,-111.93,10,0,N2,N2,1
EG4957,Salt Lake City,USA,40.78,-111.93,10,0,N2,N2,1
JT11362,Lake Forest Park,USA,47.76,-122.28,10,0,N2,N2,1
JT11398,Lake Forest Park,USA,47.76,-122.28,10,0,N2,N2,1
JT11399,Lake Forest Park,USA,47.76,-122.28,10,0,N2,N2,1
JU1026,Indre,France,46.64,1.06,10,0,N2,CB4856,1
JU1037,Indre,France,46.64,1.06,10,0,N2,CB4856,1
JU1039,Indre,France,46.64,1.06,10,0,N2,CB4856,1
JU1040,Indre,France,46.64,1.06,10,0,N2,CB4856,1
JU1088,Kakegawa,Japan,34.77,138.03,10,0,CB4856,CB4856,1
JU1171,Concepcion,Chile,-36.83,-73.05,10,0,CB4856,CB4856,0
JU1172,Concepcion,Chile,-36.83,-73.05,10,0,CB4856,CB4856,1
JU1200,Glasgow,UK,55.87,-4.27,10,0,N2,N2,1
JU1204,Indre,France,46.64,1.06,10,0,N2,CB4856,1
JU1206,Indre,France,46.64,1.06,10,0,N2,CB4856,1
JU1207,Primel,France,48.46,-4.14,10,0,N2,N2,1
JU1212,Primel,France,48.46,-4.14,10,0,N2,N2,1
JU1213,Primel,France,48.46,-4.14,10,0,N2,CB4856,1
JU1214,Primel,France,48.46,-4.14,10,0,N2,N2,1
JU1218,Santeuil,France,49.13,1.95,10,0,N2,CB4856,1
JU1230,Santeuil,France,49.13,1.95,10,0,N2,CB4856,1
JU1242,Santeuil,France,49.13,1.95,10,0,N2,CB4856,1
JU1243,Santeuil,France,49.13,1.95,10,0,N2,CB4856,1
JU1246,Santeuil,France,49.13,1.95,10,0,N2,CB4856,1
JU1395,Montsoreau,France,47.22,0.06,10,0,N2,N2,1
JU1400,Sevilla,Spain,37.4,-5.98,10,0,N2,CB4856,1
JU1401,Carmona,Spain,37.48,-5.63,10,0,N2,CB4856,1
JU1409,Carmona,Spain,37.48,-5.63,10,0,N2,CB4856,1
JU1410,Carmona,Spain,37.48,-5.63,10,0,N2,CB4856,1
JU1411,Carmona,Spain,37.48,-5.63,10,0,N2,CB4856,1
JU1440,Barcelona,Spain,41.4,2.17,10,0,N2,CB4856,1
JU1482,Sainte-Barbe,France,48.71,-3.80,10,0,N2,CB4856,1
JU1484,Indre,France,46.64,1.06,10,0,CB4856,CB4856,1
JU1491,Indre,France,46.64,1.06,10,0,CB4856,CB4856,1
JU1511,Orsay,France,48.7,2.18,10,0,N2,CB4856,1
JU1516,Orsay,France,48.7,2.18,10,0,N2,N2,1
JU1522,Orsay,France,48.7,2.18,10,0,N2,CB4856,1
JU1530,Orsay,France,48.7,2.18,10,0,N2,CB4856,1
JU1563,Orsay,France,48.7,2.18,10,0,N2,N2,1
JU1566,Val de Marne,France,48.81,2.37,10,0,N2,N2,1
JU1568,Val de Marne,France,48.81,2.37,10,0,N2,N2,1
JU1580,Orsay,France,48.7,2.18,10,0,N2,CB4856,0
JU1581,Orsay,France,48.7,2.18,10,0,N2,CB4856,1
JU1582,Orsay,France,48.7,2.18,10,0,N2,CB4856,1
JU1586,Indre,France,46.64,1.06,10,0,N2,N2,1
JU1652,Montevideo,Uruguay,-34.87,-56.17,10,0,N2,CB4856,1
JU1896,Athens,Greece,37.98,23.73,10,0,N2,N2,1
JU258,Funchal,Portugal,32.65,-16.9,10,0,N2,CB4856,1
JU262,Indre,France,46.64,1.06,10,0,CB4856,CB4856,1
JU263,Indre,France,46.64,1.06,10,0,N2,CB4856,1
JU299,Indre,France,46.64,1.06,10,0,N2,CB4856,1
JU310,Indre,France,46.64,1.06,10,0,N2,CB4856,1
JU311,Merlet,France,44.42,4.40,10,0,N2,N2,1
JU313,Merlet,France,44.42,4.40,10,0,N2,N2,1
JU314,Merlet,France,44.42,4.40,10,0,N2,N2,1
JU315,Merlet,France,44.42,4.40,10,0,N2,N2,1
JU316,Merlet,France,44.42,4.40,10,0,N2,N2,1
JU317,Merlet,France,44.42,4.40,10,0,N2,N2,1
JU318,Merlet,France,44.42,4.40,10,0,N2,N2,1
JU321,Merlet,France,44.42,4.40,10,0,N2,N2,1
JU322,Merlet,France,44.42,4.40,10,0,CB4856,CB4856,1
JU323,Merlet,France,44.42,4.40,10,0,CB4856,CB4856,1
JU342,Merlet,France,44.42,4.40,10,0,CB4856,CB4856,1
JU345,Merlet,France,44.42,4.40,10,0,N2,CB4856,1
JU346,Merlet,France,44.42,4.40,10,0,N2,CB4856,1
JU347,Merlet,France,44.42,4.40,10,0,CB4856,CB4856,1
JU360,Franconville,France,48.98,2.22,10,0,N2,CB4856,1
JU361,Franconville,France,48.98,2.22,10,0,N2,N2,1
JU362,Franconville,France,48.98,2.22,10,0,N2,CB4856,1
JU363,Franconville,France,48.98,2.22,10,0,N2,CB4856,1
JU367,Franconville,France,48.98,2.22,10,0,N2,N2,1
JU368,Franconville,France,48.98,2.22,10,0,N2,CB4856,1
JU393,Franconville,France,48.98,2.22,10,0,N2,CB4856,1
JU394,Franconville,France,48.98,2.22,10,0,N2,N2,1
JU395,Franconville,France,48.98,2.22,10,0,N2,CB4856,1
JU396,Franconville,France,48.98,2.22,10,0,N2,CB4856,1
JU397,Franconville,France,48.98,2.22,10,0,N2,CB4856,1
JU398,Franconville,France,48.98,2.22,10,0,N2,CB4856,1
JU399,Franconville,France,48.98,2.22,10,0,N2,N2,1
JU401,Franconville,France,48.98,2.22,10,0,N2,CB4856,1
JU406,Franconville,France,48.98,2.22,10,0,N2,N2,1
JU438,Hermanville,France,49.29,-0.31,10,0,N2,CB4856,1
JU440,Beauchine,France,48.68,-0.72,10,0,N2,N2,1
JU531,Finistere,France,48.35,-3.94,10,0,N2,CB4856,1
JU533,Finistere,France,48.35,-3.94,10,0,N2,CB4856,1
JU561,Finistere,France,48.35,-3.94,10,0,N2,CB4856,1
JU563,Finistere,France,48.35,-3.94,10,0,N2,CB4856,1
JU622,Frechendets,France,43.07,0.24,10,0,N2,CB4856,1
JU642,Le Perreux sur Marne,France,48.84,2.51,10,0,N2,CB4856,1
JU693,Franconville,France,48.98,2.22,10,0,N2,N2,1
JU694,Franconville,France,48.98,2.22,10,0,N2,N2,1
JU751,Le Perreux sur Marne,France,48.84,2.51,10,0,N2,CB4856,1
JU774,Carcavelos,Portugal,38.68,-9.33,10,0,N2,CB4856,1
JU775,Lisbon,Portugal,38.72,-9.14,10,0,N2,CB4856,0
JU778,Lisbon,Portugal,38.72,-9.14,10,0,CB4856,CB4856,1
JU782,Lisbon,Portugal,38.72,-9.14,10,0,N2,CB4856,1
JU792,Frechendets,France,43.07,0.24,10,0,N2,CB4856,1
JU799,Lisbon,Portugal,38.72,-9.14,10,0,N2,CB4856,0
JU801,Franconville,France,48.98,2.22,10,0,N2,CB4856,1
JU829,Tubingen,Germany,48.53,9.06,10,0,N2,CB4856,1
JU830,Tubingen,Germany,48.53,9.06,10,0,N2,CB4856,1
JU847,Bas-Rhin,France,48.73,7.52,10,0,N2,CB4856,1
JU848,Bas-Rhin,France,48.73,7.52,10,0,N2,CB4856,1
KR314,Vancouver,Canada,49.28,-123.13,10,0,CB4856,CB4856,1
LKC34,Antananarivo,Madagascar,-18.89,47.51,10,0,CB4856,CB4856,1
LSJ1,Bristol,UK,51.46,-2.6,10,0,N2,N2,1
MY1,Lingen,Germany,52.54,7.31,10,0,CB4856,CB4856,1
MY10,Roxel,Germany,51.96,7.53,10,0,N2,NA,0
MY14,Mecklenbeck,Germany,51.93,7.57,10,0,CB4856,CB4856,0
MY15,Mecklenbeck,Germany,51.93,7.57,10,0,CB4856,CB4856,0
MY16,Mecklenbeck,Germany,51.93,7.57,10,0,N2,CB4856,1
MY18,Roxel,Germany,51.96,7.53,10,0,N2,CB4856,1
MY2,Roxel,Germany,51.96,7.53,10,0,CB4856,CB4856,0
MY23,Roxel,Germany,51.96,7.53,10,0,CB4856,CB4856,0
MY6,Roxel,Germany,51.96,7.53,10,0,N2,CB4856,1
MY7,Roxel,Germany,51.96,7.53,10,0,N2,CB4856,1
N2,Bristol,UK,51.46,-2.6,10,0,N2,NA,1
PB303,Carolina Biological Supply,USA,36.11,-79.49,10,0,N2,CB4856,1
PB306,Carolina Biological Supply,USA,36.11,-79.49,10,0,CB4856,CB4856,0
PS2025,Altadena,USA,34.19,-118.13,10,0,CB4856,CB4856,0
PX174,Lincoln City,USA,44.96,-124.02,10,0,N2,CB4856,1
PX178,Eugene,USA,44.05,-123.11,10,0,CB4856,N2,1
PX179,Eugene,USA,44.05,-123.11,10,0,CB4856,N2,1
QX1211,San Francisco,USA,37.77,-122.45,10,0,CB4856,CB4856,0
QX1216,San Francisco,USA,37.77,-122.45,10,0,CB4856,CB4856,0
QX1218,Berkeley,USA,37.87,-122.27,10,0,CB4856,CB4856,1
QX1233,Berkeley,USA,37.87,-122.27,10,0,CB4856,CB4856,1